file_name,row,column,layer,ratio
R1.72.2016.jpeg,1500,1000,3,1.5
R4.31.2017.jpeg,1500,1000,3,1.5
R9.0.2006.jpeg,2100,1400,3,1.5
R3.4.1998.jpeg,940,666,3,1.411411411
R4.114.2016.jpeg,3000,2000,3,1.5
R7.19.2015.jpeg,3000,2000,3,1.5
R2.2.2015.jpeg,960,640,3,1.5
R2.29.2003.jpeg,2100,1400,3,1.5
R8.7.2008.jpeg,1500,1000,3,1.5
R6.0.2017.jpeg,3000,2000,3,1.5
R3.109.2016.jpeg,1056,690,3,1.530434783
R1.31.2006.jpeg,1500,1000,3,1.5
R1.71.2017.jpeg,900,600,3,1.5
R9.68.2015.jpeg,1500,1000,3,1.5
R4.33.2008.jpeg,1200,800,3,1.5
R1.10.1999.jpeg,844,580,3,1.455172414
R9.32.2007.jpeg,1500,1000,3,1.5
R6.32.2006.jpeg,1733,1156,3,1.499134948
R7.28.2017.jpeg,1080,720,3,1.5
R1.15.2002.jpeg,1080,752,3,1.436170213
R3.6.1998.jpeg,2100,1400,3,1.5
R3.85.2017.jpeg,750,526,3,1.425855513
R1.6.2007.jpeg,593,400,3,1.4825
R0.41.2006.jpeg,750,500,3,1.5
R8.112.2016.jpeg,1500,1000,3,1.5
R2.10.2015.jpeg,779,526,3,1.480988593
R0.18.2008.jpeg,1063,750,3,1.417333333
R7.13.2016.jpeg,2048,1366,3,1.499267936
R8.32.2007.jpeg,1500,1000,3,1.5
R1.9.2011.jpeg,948,640,3,1.48125
R0.11.2006.jpeg,1080,720,3,1.5
R6.27.2007.jpeg,1500,1036,3,1.447876448
R3.89.2017.jpeg,1500,1000,3,1.5
R1.85.2015.jpeg,1856,1301,3,1.426594927
R2.47.2017.jpeg,1500,1055,3,1.421800948
R5.10.1998.jpeg,1500,1000,3,1.5
R6.30.2009.jpeg,1200,800,3,1.5
R0.91.2015.jpeg,1500,1000,3,1.5
R4.96.2015.jpeg,1500,1000,3,1.5
R3.8.2013.jpeg,1500,1000,3,1.5
R1.14.2003.jpeg,3000,2000,3,1.5
R9.38.2007.jpeg,1500,1000,3,1.5
R6.60.2015.jpeg,3000,2000,3,1.5
R9.4.2001.jpeg,1012,736,3,1.375
R1.0.2003.jpeg,750,500,3,1.5
R2.4.2014.jpeg,1500,1000,3,1.5
R0.65.2017.jpeg,1200,800,3,1.5
R3.66.2015.jpeg,2100,1400,3,1.5
R7.25.2007.jpeg,2100,1400,3,1.5
R4.54.2016.jpeg,2100,1400,3,1.5
R5.3.2003.jpeg,999,666,3,1.5
R6.77.2015.jpeg,1500,1000,3,1.5
R0.15.2008.jpeg,943,666,3,1.415915916
R8.123.2016.jpeg,3000,2000,3,1.5
R5.80.2017.jpeg,2048,1390,3,1.473381295
R5.9.2006.jpeg,1200,800,3,1.5
R6.89.2017.jpeg,1500,1000,3,1.5
R4.10.2001.jpeg,1500,1000,3,1.5
R9.1.2012.jpeg,1500,1000,3,1.5
R7.105.2016.jpeg,3000,2000,3,1.5
R0.7.2001.jpeg,785,609,3,1.288998358
R5.5.1999.jpeg,999,666,3,1.5
R2.54.2016.jpeg,3000,2000,3,1.5
R0.11.2016.jpeg,3000,2000,3,1.5
R6.12.2002.jpeg,1500,1000,3,1.5
